,date,id,intensidadeVentoKM,temperatura,radiacao,idDireccVento,precAcumulada,intensidadeVento,humidade,pressao,local,lon,lat
38,2023-03-09T14:00,1210883,22.0,19.9,-99.0,7.0,0.0,6.1,88.0,1020.2,Tavira,-7.62050375,37.12166968
39,2023-03-08T22:00,1210883,13.3,15.8,-99.0,6.0,0.0,3.7,93.0,1018.7,Tavira,-7.62050375,37.12166968
40,2023-03-09T16:00,1210883,15.1,21.3,-99.0,7.0,0.0,4.2,74.0,1020.1,Tavira,-7.62050375,37.12166968
41,2023-03-09T09:00,1210883,21.6,16.9,-99.0,6.0,0.1,6.0,97.0,1019.2,Tavira,-7.62050375,37.12166968
42,2023-03-09T13:00,1210883,20.2,18.5,-99.0,7.0,0.0,5.6,94.0,1020.5,Tavira,-7.62050375,37.12166968
43,2023-03-09T17:00,1210883,14.0,22.2,-99.0,7.0,0.0,3.9,62.0,1020.5,Tavira,-7.62050375,37.12166968
44,2023-03-08T21:00,1210883,14.0,15.7,-99.0,6.0,0.0,3.9,93.0,1018.4,Tavira,-7.62050375,37.12166968
45,2023-03-09T11:00,1210883,18.0,17.7,-99.0,7.0,0.0,5.0,97.0,1020.7,Tavira,-7.62050375,37.12166968
46,2023-03-09T06:00,1210883,13.3,16.3,-99.0,6.0,0.0,3.7,96.0,1017.9,Tavira,-7.62050375,37.12166968
47,2023-03-09T03:00,1210883,13.7,16.2,-99.0,6.0,0.0,3.8,95.0,1018.3,Tavira,-7.62050375,37.12166968
72,2023-03-09T01:00,11217430,18.7,14.6,0.0,7.0,0.0,5.2,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
73,2023-03-09T07:00,11217430,21.2,15.3,0.0,6.0,0.0,5.9,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
74,2023-03-08T23:00,11217430,22.3,14.5,0.0,8.0,0.0,6.2,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
75,2023-03-08T19:00,11217430,31.0,14.3,383.1,8.0,0.0,8.6,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
76,2023-03-09T05:00,11217430,18.0,14.9,0.0,6.0,0.0,5.0,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
77,2023-03-09T00:00,11217430,16.2,14.5,0.0,7.0,0.0,4.5,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
78,2023-03-09T04:00,11217430,23.8,14.6,0.0,6.0,0.0,6.6,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
79,2023-03-08T20:00,11217430,31.7,14.4,34.3,8.0,0.0,8.8,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
80,2023-03-09T02:00,11217430,10.1,14.6,0.0,5.0,0.0,2.8,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
82,2023-03-09T08:00,11217430,14.8,15.8,4.6,7.0,0.0,4.1,98.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
83,2023-03-09T15:00,11217430,20.2,18.2,375.0,6.0,0.1,5.6,97.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
84,2023-03-09T10:00,11217430,14.0,15.8,328.7,5.0,0.0,3.9,98.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
85,2023-03-09T12:00,11217430,16.9,16.4,492.7,5.0,0.0,4.7,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
86,2023-03-09T14:00,11217430,21.6,19.0,1071.1,7.0,0.0,6.0,91.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
87,2023-03-08T22:00,11217430,16.9,14.4,0.0,7.0,0.0,4.7,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
88,2023-03-09T16:00,11217430,26.6,18.6,691.0,7.0,0.0,7.4,96.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
89,2023-03-09T09:00,11217430,16.2,16.2,113.7,5.0,0.0,4.5,88.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
90,2023-03-09T13:00,11217430,14.8,18.2,916.5,6.0,0.0,4.1,98.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
91,2023-03-09T17:00,11217430,21.2,18.1,151.2,6.0,1.9,5.9,96.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
92,2023-03-08T21:00,11217430,19.4,14.4,0.0,8.0,0.0,5.4,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
93,2023-03-09T11:00,11217430,13.3,16.0,615.0,5.0,0.0,3.7,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
94,2023-03-09T06:00,11217430,13.3,15.1,0.0,6.0,0.0,3.7,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
95,2023-03-09T03:00,11217430,12.6,14.6,0.0,6.0,0.0,3.5,99.0,-99.0,Graciosa / Serra das Fontes (DROTRH),-28.0038,39.0672
96,2023-03-09T01:00,6212121,12.2,12.6,6.6,6.0,0.0,3.4,92.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
97,2023-03-09T07:00,6212121,15.1,11.9,5.4,7.0,0.0,4.2,91.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
98,2023-03-08T23:00,6212121,9.7,12.9,7.2,7.0,0.0,2.7,93.0,1010.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
99,2023-03-08T19:00,6212121,13.0,13.1,16.8,7.0,0.4,3.6,97.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
100,2023-03-09T05:00,6212121,16.9,11.6,6.6,7.0,0.1,4.7,97.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
101,2023-03-09T00:00,6212121,12.6,12.8,6.6,7.0,0.2,3.5,94.0,1010.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
102,2023-03-09T04:00,6212121,14.8,11.8,7.2,7.0,1.4,4.1,96.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
103,2023-03-08T20:00,6212121,11.5,13.1,7.2,7.0,0.3,3.2,95.0,1009.7,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
104,2023-03-09T02:00,6212121,11.5,12.5,6.0,7.0,0.1,3.2,91.0,1009.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
105,2023-03-09T18:00,6212121,18.7,12.4,94.8,7.0,0.1,5.2,91.0,1014.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
106,2023-03-09T08:00,6212121,14.4,11.9,28.2,6.0,0.2,4.0,92.0,1009.2,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
107,2023-03-09T15:00,6212121,19.4,14.6,2320.8,7.0,0.0,5.4,80.0,1013.0,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
108,2023-03-09T10:00,6212121,8.6,9.3,26.4,7.0,13.5,2.4,96.0,1010.3,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
109,2023-03-09T12:00,6212121,5.4,10.0,379.8,8.0,0.2,1.5,98.0,1011.7,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
