,id,local,lon,lat
57,1210615,Ponte de Lima,-8.56671389,41.75013889
163,1200571,Portalegre,-7.41996944,39.29546944
179,1210848,"Portel, Oriola",-7.86666667,38.31666667
196,1210878,Portimão (Aeródromo),-8.581389,37.149167
129,6210879,Portimão (Praia da Rocha),-8.52946314,37.11670461
125,1200524,Porto Santo,-16.34868,33.074029
91,1240903,"Porto, Massarelos",-8.62598,41.15257
145,1200545,"Porto, Pedras Rubras (Aeródromo)",-8.681332,41.233502
180,1240546,"Porto, Serra do Pilar",-8.6025,41.1385194
35,1210987,Prazeres (Calheta),-17.201551,32.757205
158,1210806,"Proença-a-Nova, P.Moitas",-7.86666667,39.73333333
108,1210729,Rio Maior,-8.93333333,39.35
72,1210649,S. Gens,-8.64445,41.18445
13,1210932,"S. Miguel, Nordeste",-25.150108,37.83256
9,1210800,"Sabugal, Martim Rei",-7.03693333,40.33918056
133,1200533,Sagres,-8.949089,37.012835
122,1200521,Santa Catarina (Aeródromo),-16.77612,32.69688
139,6213019,Santa Comba Dão (CIM),-8.13996389,40.39644722
116,1210746,Santa Cruz (Aeródromo),-9.3790388,39.12594166
121,1200515,Santa Maria (Aeródromo),-25.1679,36.967175
12,11217160,Santa Maria / Praia Formosa (DROTRH),-25.0917,36.9542
109,1210734,"Santarém, Fonte Boa",-8.736656,39.201216
140,6213020,Satão (CIM),-7.72019722,40.76072778
130,1210770,Setúbal,-8.89077058,38.54846008
141,1200541,Sines,-8.838271,37.954504
117,1210747,"Sintra, Colares",-9.46,38.8126
193,6213621,Soure (CIM),-8.504909,40.02927
56,1200510,São Jorge,-28.17,38.66
89,11217217,São Miguel / Santana (DROTRH),-25.5618,37.8049
103,1210721,São Pedro de Moel,-9.03058889,39.76361944
1,1210883,Tavira,-7.62050375,37.12166968
175,11217370,Terceira / Ribeira das Nove (DROTRH),-27.3245,38.754
176,11217372,Terceira / Serra do Cume (DROTRH),-27.1031,38.7002
3,6212121,Terras de Bouro/Barral (CIM),-8.31808611,41.70225278
105,1210724,"Tomar, Valdonas",-8.36666667,39.6
111,1210739,"Torres Vedras, Dois Portos",-9.179,39.04389444
79,1210666,"Trancoso, Bandarra",-7.36666667,40.78333333
51,1210604,V.N.Cerveira (Aeródromo),-8.66676111,41.96673056
149,1200551,"Viana Castelo, Chafé",-8.804606,41.648875
178,1210847,Viana do Alentejo,-8.04553888,38.3319194
10,1240610,Viana do Castelo,-8.82916,41.695
84,6212410,Vila Nova Famalicão (CIM),-8.52185,41.3882
61,6213619,Vila Nova de Poiares (CIM),-8.241995,40.211411
142,6213022,Vila Nova do Paiva (CIM),-7.72716389,40.85595
159,1200567,Vila Real,-7.7171,41.27418611
194,1240566,Vila Real (Cidade),-7.740522,41.30898056
190,1210866,Vila Real de S.António,-7.416325,37.1871055
42,6212123,Vila Verde (CIM),-8.43398056,41.64686111
70,1200559,Viseu (Aeródromo),-7.887472,40.72645
155,1200560,Viseu (C.Coordenação),-7.89592222,40.71492222
30,1240675,Viseu (Cidade),-7.9039694,40.662738
71,6213023,Vouzela (CIM),-8.05106389,40.64405556
174,1210788,Zambujeira,-8.74286944,37.58195833
157,1210803,Zebreira,-7.01666667,39.86666667
153,1200558,Évora (C.Coordenação),-7.88338056,38.53336389
